title,company,location,text,publish_date,link
Desarrollador Java Backend Jr/Remoto,NTT DATA Europe & Latam,"León, Mexico Metropolitan Area",Actively Hiring,2024-04-24,https://mx.linkedin.com/jobs/view/desarrollador-java-backend-jr-remoto-at-ntt-data-europe-latam-3908026569?position=1&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=Ms4cHyjNx4EqPPrrqaL7AQ%3D%3D&trk=public_jobs_jserp-result_search-card
Programador full stack,BANCO DEL BAJIO,"León, Guanajuato, Mexico",Actively Hiring,2024-04-19,https://mx.linkedin.com/jobs/view/programador-full-stack-at-banco-del-bajio-3906095573?position=2&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=8j51vgoiWaNA%2ByYpnE72oA%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador,Softtek,"León, Guanajuato, Mexico",Actively Hiring,2024-05-16,https://mx.linkedin.com/jobs/view/desarrollador-at-softtek-3928262223?position=3&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=RnA2ojCckCBTloArpClOYg%3D%3D&trk=public_jobs_jserp-result_search-card
Java Backend Engineer,UST,"Silao, Guanajuato, Mexico",Actively Hiring,2024-05-09,https://mx.linkedin.com/jobs/view/java-backend-engineer-at-ust-3921724414?position=4&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=lZR%2F3S3SkaWiupBzVFu6tA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - App Stores Backend (Remote),Canonical,"León, Guanajuato, Mexico",,2024-03-20,https://mx.linkedin.com/jobs/view/software-engineer-app-stores-backend-remote-at-canonical-3864215226?position=5&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=TGXthkpPbhXt6Mp4UWE%2Bvg%3D%3D&trk=public_jobs_jserp-result_search-card
"Web Developer - Remote, Full-Time",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-04-10,https://mx.linkedin.com/jobs/view/web-developer-remote-full-time-at-bluelight-consulting-devops-software-development-3593244273?position=6&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=ZqrjrZOwqJmeRG81zdfLog%3D%3D&trk=public_jobs_jserp-result_search-card
Microservices Engineer,Canonical,"León, Guanajuato, Mexico",,2024-03-15,https://mx.linkedin.com/jobs/view/microservices-engineer-at-canonical-3857253869?position=7&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=coBuk5F7QmAUBORxyqXzcA%3D%3D&trk=public_jobs_jserp-result_search-card
Programador de Robots.,HIROTEC TOOLING DE MEXICO,"Silao, Guanajuato, Mexico",,2024-03-15,https://mx.linkedin.com/jobs/view/programador-de-robots-at-hirotec-tooling-de-mexico-3856436668?position=8&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=LciZDeFadl1KJgajnOEZng%3D%3D&trk=public_jobs_jserp-result_search-card
Programador de Robots,HIROTEC TOOLING DE MEXICO,"Silao, Guanajuato, Mexico",,2024-03-15,https://mx.linkedin.com/jobs/view/programador-de-robots-at-hirotec-tooling-de-mexico-3856443316?position=9&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=9wHas3XrvojappHh9ru3vw%3D%3D&trk=public_jobs_jserp-result_search-card
Programador de Robots,HIROTEC TOOLING DE MEXICO,"Silao, Guanajuato, Mexico",,2024-03-15,https://mx.linkedin.com/jobs/view/programador-de-robots-at-hirotec-tooling-de-mexico-3856443249?position=10&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=2xE4exwFhZ7WE%2B%2BmU2ghwg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Solutions Engineering,Canonical,"León, Guanajuato, Mexico",,2024-03-20,https://mx.linkedin.com/jobs/view/software-engineer-solutions-engineering-at-canonical-3863383596?position=11&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=uXu9Ej385cHprCdy%2B7BePQ%3D%3D&trk=public_jobs_jserp-result_search-card
"PHP Developer - Remote, Full-Time",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-04-18,https://mx.linkedin.com/jobs/view/php-developer-remote-full-time-at-bluelight-consulting-devops-software-development-3601459591?position=12&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=fjWD14VlEnpXZCKO2o3yIQ%3D%3D&trk=public_jobs_jserp-result_search-card
"NodeJS/Spring Boot/Go/Python Backend Developer - Remote, Full-time",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2024-02-10,https://mx.linkedin.com/jobs/view/nodejs-spring-boot-go-python-backend-developer-remote-full-time-at-bluelight-consulting-devops-software-development-3822622397?position=13&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=npJskvOtWvtes%2B5PgD%2BVVQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Cross-platform C++ - Multipass,Canonical,"León, Guanajuato, Mexico",,2024-02-20,https://mx.linkedin.com/jobs/view/software-engineer-cross-platform-c%2B%2B-multipass-at-canonical-3834732220?position=14&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=3TnwCmOqbMM6vtdNLG06%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card
"C# / DotNet Developer - Remote, Latin America",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-03-29,https://mx.linkedin.com/jobs/view/c%23-dotnet-developer-remote-latin-america-at-bluelight-consulting-devops-software-development-3575087850?position=15&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=DAN82cthKcOsCoMXwNmeTw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Python/Golang - Kubernetes,Canonical,"León, Guanajuato, Mexico",,2024-04-03,https://mx.linkedin.com/jobs/view/software-engineer-python-golang-kubernetes-at-canonical-3880817820?position=16&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=6dmrNKeZNi2%2FoAWvPQx36g%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Sustaining Engineering",Canonical,"León, Guanajuato, Mexico",,2024-05-13,https://mx.linkedin.com/jobs/view/software-engineer-sustaining-engineering-at-canonical-3924214910?position=17&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=U%2FG39nYHgWAnvOci5kfpmw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer (Python/Linux/Packaging),Canonical,"León, Guanajuato, Mexico",,2024-04-18,https://mx.linkedin.com/jobs/view/software-engineer-python-linux-packaging-at-canonical-3903837260?position=18&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=yn%2FwscrD30RYP%2Bku3cDMLg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingeniero de software Microsoft .Net,Glouu Technologies,"León, Guanajuato, Mexico",,2024-05-14,https://mx.linkedin.com/jobs/view/ingeniero-de-software-microsoft-net-at-glouu-technologies-3925180924?position=19&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=gWTjdeb%2FJBWexShfL6YIig%3D%3D&trk=public_jobs_jserp-result_search-card
"Distributed Systems Software Engineer, Python / Go",Canonical,"León, Guanajuato, Mexico",,2024-02-12,https://mx.linkedin.com/jobs/view/distributed-systems-software-engineer-python-go-at-canonical-3828246096?position=20&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=FdwdJpQbqzSaCf39Xt6j1w%3D%3D&trk=public_jobs_jserp-result_search-card
Juju Software Engineer (Go),Canonical,"León, Guanajuato, Mexico",,2023-12-13,https://mx.linkedin.com/jobs/view/juju-software-engineer-go-at-canonical-3783907658?position=21&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=scFUTHTsItNqveNsINTOjQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Digital Workplace,Canonical,"León, Guanajuato, Mexico",,2024-02-08,https://mx.linkedin.com/jobs/view/software-engineer-digital-workplace-at-canonical-3825019106?position=22&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=jTcJvCldSfxogYeLtcaUNw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Ubuntu Systems Management,Canonical,"León, Guanajuato, Mexico",,2024-03-18,https://mx.linkedin.com/jobs/view/software-engineer-ubuntu-systems-management-at-canonical-3860557821?position=23&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=I4lxedZI0fTZAUHv%2BqXrVw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Data Infrastructure,Canonical,"León, Guanajuato, Mexico",,2024-04-22,https://mx.linkedin.com/jobs/view/software-engineer-data-infrastructure-at-canonical-3906653359?position=24&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=Aykvx0xudBT%2FPG9GL3tlzQ%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Engineer,Canonical,"León, Guanajuato, Mexico",,2024-04-18,https://mx.linkedin.com/jobs/view/senior-engineer-at-canonical-3903454933?position=25&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=aNv9A8HCSSHgV4a36s5MTQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Identity Management for Canonical Products,Canonical,"León, Guanajuato, Mexico",,2024-03-19,https://mx.linkedin.com/jobs/view/software-engineer-identity-management-for-canonical-products-at-canonical-3861141068?position=26&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=%2BIyhOCLNqsQIVIlJSfMPCQ%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador Cobol Unisys/Remoto,NTT DATA Europe & Latam,"León, Mexico Metropolitan Area",Actively Hiring,2024-05-09,https://mx.linkedin.com/jobs/view/desarrollador-cobol-unisys-remoto-at-ntt-data-europe-latam-3920021535?position=27&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=4wkAY8rnqzxSbeQmwQ7WiA%3D%3D&trk=public_jobs_jserp-result_search-card
"Typescript/NextJS Frontend Developer - Remote, Full-Time",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2024-02-10,https://mx.linkedin.com/jobs/view/typescript-nextjs-frontend-developer-remote-full-time-at-bluelight-consulting-devops-software-development-3822619433?position=28&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=sw3z3JlpOWVKPVzpkhshhg%3D%3D&trk=public_jobs_jserp-result_search-card
Programador/a Dynamics 365 CRM Sales,Antal International,"León, Guanajuato, Mexico",Actively Hiring,2024-04-24,https://mx.linkedin.com/jobs/view/programador-a-dynamics-365-crm-sales-at-antal-international-3910162143?position=29&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=%2Fw8prXzzNOajOImEkfIJtA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Data Infrastructure - Kafka,Canonical,"León, Guanajuato, Mexico",,2024-03-07,https://mx.linkedin.com/jobs/view/software-engineer-data-infrastructure-kafka-at-canonical-3848358591?position=30&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=lZyGeqy4ua%2FkTv0JZcYYKw%3D%3D&trk=public_jobs_jserp-result_search-card
"NodeJS Developer - Remote, Latin America",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-03-29,https://mx.linkedin.com/jobs/view/nodejs-developer-remote-latin-america-at-bluelight-consulting-devops-software-development-3575094517?position=31&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=taQmokq8DoWI1RK4YE36yQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Robotics Simulation,Lumenalta (formerly Clevertech),"León, Guanajuato, Mexico",Actively Hiring,2024-05-16,https://mx.linkedin.com/jobs/view/software-engineer-robotics-simulation-at-lumenalta-formerly-clevertech-3928102411?position=32&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=MnxrRtactLr%2BP5cPvXDjlQ%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Juju Software Engineer (Go),Canonical,"León, Guanajuato, Mexico",,2024-02-02,https://mx.linkedin.com/jobs/view/senior-juju-software-engineer-go-at-canonical-3816154878?position=33&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=i0KYOCVv9AigbXPuiqLaJQ%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador Cobol/Microfocus,NTT DATA Europe & Latam,"León, Mexico Metropolitan Area",Actively Hiring,2024-04-23,https://mx.linkedin.com/jobs/view/desarrollador-cobol-microfocus-at-ntt-data-europe-latam-3907133538?position=34&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=wd37n2CB6g7CUwQCe8n9Zw%3D%3D&trk=public_jobs_jserp-result_search-card
Developer Relations Engineer,Canonical,"León, Guanajuato, Mexico",,2024-01-07,https://mx.linkedin.com/jobs/view/developer-relations-engineer-at-canonical-3800025879?position=35&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=OuGV1yErOD9BIuaiMAeR4A%3D%3D&trk=public_jobs_jserp-result_search-card
"React Engineer - Remote, Latin America",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-03-29,https://mx.linkedin.com/jobs/view/react-engineer-remote-latin-america-at-bluelight-consulting-devops-software-development-3575085965?position=36&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=w15IWxqJDC6Hsy10j09Fgw%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Ceph & Distributed Storage",Canonical,"León, Guanajuato, Mexico",,2024-04-16,https://mx.linkedin.com/jobs/view/software-engineer-ceph-distributed-storage-at-canonical-3900795015?position=37&pageNum=0&refId=a6skBusR6%2ByQzLqRj4Vsxg%3D%3D&trackingId=TlzctixgfkQ8n5mFLl59kw%3D%3D&trk=public_jobs_jserp-result_search-card
